5 215
D B E A C
0 0 1 1 0
1 0 1 1 0
0 1 0 1 1
0 1 1 1 0
1 1 1 0 0
0 1 0 0 0
1 1 1 1 1
0 0 1 0 1
0 1 1 0 1
1 1 1 0 0
0 1 0 0 0
1 1 0 1 1
1 1 1 1 0
0 0 1 1 1
1 1 1 1 1
1 1 0 1 1
1 0 1 0 0
1 1 1 1 0
1 1 1 1 1
0 1 0 1 0
0 1 0 0 0
1 0 0 1 1
1 0 1 0 1
0 1 0 0 0
1 0 1 1 1
1 0 0 1 1
1 1 1 1 1
0 1 0 0 1
0 1 1 1 1
1 0 0 0 0
0 1 1 0 0
1 1 1 0 0
0 0 0 1 0
1 0 0 1 0
0 0 0 1 1
0 0 1 0 1
0 0 1 1 1
0 1 1 1 1
1 0 1 0 0
0 0 1 1 0
1 1 0 1 0
1 1 1 1 1
0 0 0 1 0
0 1 1 1 0
0 0 0 1 0
1 1 1 0 0
0 0 1 0 0
0 0 0 1 0
1 0 1 0 1
0 0 0 1 1
1 0 1 1 1
0 0 1 0 0
0 1 1 0 1
1 0 1 0 1
1 0 1 1 1
0 0 0 1 0
1 0 1 0 1
1 1 1 0 1
0 1 0 1 1
1 0 1 1 0
1 0 1 1 0
1 0 0 1 1
1 0 1 0 0
0 0 0 1 0
0 0 0 1 1
0 0 0 1 1
0 0 1 0 1
0 0 1 1 0
1 0 1 0 1
0 1 0 1 0
1 1 0 0 0
0 1 0 0 0
1 0 1 1 0
0 0 0 1 0
0 1 1 1 0
0 1 1 0 0
1 1 0 1 1
1 0 0 1 0
0 1 0 1 1
1 0 0 1 0
0 0 0 1 0
1 0 1 1 0
0 0 1 1 0
1 0 0 0 0
0 0 0 0 1
0 0 0 0 1
1 1 0 1 0
1 1 0 0 0
0 0 0 0 1
0 0 0 0 0
0 0 0 1 0
1 1 0 1 0
0 0 0 1 1
0 0 1 1 1
0 0 0 1 0
0 0 0 0 1
0 0 1 1 1
1 0 0 1 1
1 0 0 1 1
0 1 1 0 1
0 1 0 0 0
0 1 0 0 0
0 0 0 1 0
1 0 0 0 1
0 1 1 0 0
0 1 1 0 1
1 0 1 0 0
0 1 1 0 0
0 1 1 1 1
0 1 0 1 1
0 0 1 1 1
1 0 0 1 0
0 0 0 1 0
1 0 0 0 1
0 0 1 1 1
1 0 0 0 0
0 0 0 0 0
0 1 0 1 0
1 0 0 0 1
0 1 0 0 0
1 0 1 1 1
0 0 0 0 1
0 0 1 1 1
1 1 0 1 0
0 0 0 0 1
1 0 1 1 1
0 1 1 0 1
0 1 1 0 0
0 1 0 0 0
0 1 1 0 1
1 0 1 0 0
1 0 1 0 1
1 1 0 0 1
1 0 0 1 1
0 0 0 0 0
1 1 1 1 0
1 0 1 1 0
1 1 1 0 1
0 1 0 0 0
1 1 1 0 1
0 1 1 1 1
0 0 0 1 1
0 0 1 1 0
1 1 1 0 1
1 1 0 0 1
0 1 0 1 1
1 1 1 0 1
1 0 1 1 1
0 0 1 0 0
1 0 0 1 0
1 1 1 0 0
1 1 1 1 0
1 0 0 0 1
0 0 1 0 1
0 0 1 0 0
1 1 1 0 0
1 0 0 0 0
0 1 0 1 1
1 1 1 0 0
0 1 0 0 0
0 1 0 0 1
1 0 0 0 0
0 0 0 0 1
0 0 0 0 0
1 1 0 1 1
1 0 1 0 1
0 0 0 1 1
1 0 1 1 1
1 1 0 0 0
0 1 0 0 0
1 0 1 1 1
1 1 1 1 1
0 0 0 0 1
1 0 1 1 1
1 0 0 1 0
1 0 0 0 1
0 1 1 0 0
1 0 1 1 1
0 1 0 1 1
1 0 1 0 1
1 0 0 1 0
0 1 1 1 0
0 0 1 0 0
1 0 1 1 0
0 0 0 0 0
0 0 1 1 1
1 1 0 1 0
1 1 1 1 0
0 1 1 1 0
1 1 1 0 1
1 1 0 0 0
0 1 0 0 0
1 1 0 1 1
0 1 0 0 1
0 1 1 0 0
0 0 0 0 1
1 1 1 0 1
0 1 0 0 0
1 0 1 0 1
1 0 1 1 0
0 0 1 1 0
1 0 0 0 0
1 1 1 0 0
1 0 0 1 1
1 1 0 1 0
0 0 0 0 1
0 0 0 0 1
1 1 1 1 1
1 0 0 1 0
1 0 0 1 1
0 0 0 0 1
1 1 0 1 0
0 0 1 1 1
0 0 1 0 0
0 0 1 0 1
0 0 1 0 0
